,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
225,frozenset({'Init_Test_JFrdeOvNotvnOWX'}),frozenset({'Init_Test_xKeHIrsCYBLOsrn'}),0.3333333333333333,0.29333333333333333,0.2,0.6000000000000001,2.045454545454546,0.10222222222222224,1.766666666666667,0.7666666666666667
226,frozenset({'Init_Test_teTfctWVydutsaI'}),frozenset({'Init_Test_PFfiNytNdPdKrFD'}),0.28,0.32,0.2,0.7142857142857143,2.232142857142857,0.1104,2.38,0.7666666666666667
227,frozenset({'Init_Test_PFfiNytNdPdKrFD'}),frozenset({'Init_Test_teTfctWVydutsaI'}),0.32,0.28,0.2,0.625,2.2321428571428568,0.1104,1.92,0.811764705882353
228,frozenset({'Init_Test_hdScBoXCdMTveEZ'}),frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),0.37333333333333335,0.38666666666666666,0.21333333333333335,0.5714285714285714,1.477832512315271,0.06897777777777778,1.431111111111111,0.5159574468085105
229,frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),frozenset({'Init_Test_hdScBoXCdMTveEZ'}),0.38666666666666666,0.37333333333333335,0.21333333333333335,0.5517241379310345,1.477832512315271,0.06897777777777778,1.397948717948718,0.5271739130434783
230,frozenset({'Init_Test_YBEdStICRTVhROS'}),frozenset({'Init_Test_JFrdeOvNotvnOWX'}),0.37333333333333335,0.3333333333333333,0.2,0.5357142857142857,1.6071428571428572,0.07555555555555557,1.435897435897436,0.6028368794326241
231,frozenset({'Init_Test_JFrdeOvNotvnOWX'}),frozenset({'Init_Test_YBEdStICRTVhROS'}),0.3333333333333333,0.37333333333333335,0.2,0.6000000000000001,1.6071428571428572,0.07555555555555557,1.566666666666667,0.5666666666666667
232,frozenset({'Init_Test_PvluLrGxFSeQXxs'}),frozenset({'Init_Test_JFrdeOvNotvnOWX'}),0.4,0.3333333333333333,0.2,0.5,1.5,0.06666666666666668,1.3333333333333335,0.5555555555555557
233,frozenset({'Init_Test_JFrdeOvNotvnOWX'}),frozenset({'Init_Test_PvluLrGxFSeQXxs'}),0.3333333333333333,0.4,0.2,0.6000000000000001,1.5000000000000002,0.06666666666666668,1.5000000000000002,0.5
234,frozenset({'Init_Test_bqMaiLbADYmLGPg'}),frozenset({'Init_Test_VWiekrNVjEqDjhe'}),0.26666666666666666,0.36,0.2,0.75,2.0833333333333335,0.10400000000000001,2.56,0.709090909090909
235,frozenset({'Init_Test_VWiekrNVjEqDjhe'}),frozenset({'Init_Test_bqMaiLbADYmLGPg'}),0.36,0.26666666666666666,0.2,0.5555555555555556,2.0833333333333335,0.10400000000000001,1.6500000000000001,0.8125
236,frozenset({'Init_Test_PeYvNviBcAOXcoQ'}),frozenset({'Init_Test_JAHLIeaJzlwMkKC'}),0.38666666666666666,0.3333333333333333,0.2,0.5172413793103449,1.5517241379310347,0.07111111111111112,1.3809523809523812,0.5797101449275364
237,frozenset({'Init_Test_JAHLIeaJzlwMkKC'}),frozenset({'Init_Test_PeYvNviBcAOXcoQ'}),0.3333333333333333,0.38666666666666666,0.2,0.6000000000000001,1.5517241379310347,0.07111111111111112,1.5333333333333337,0.5333333333333333
238,frozenset({'Init_Test_wepnFjTZBcLruVd'}),frozenset({'Init_Test_wgBjpWsLnFBWkRf'}),0.3466666666666667,0.3466666666666667,0.2,0.576923076923077,1.6642011834319528,0.07982222222222222,1.5442424242424244,0.6108843537414965
239,frozenset({'Init_Test_wgBjpWsLnFBWkRf'}),frozenset({'Init_Test_wepnFjTZBcLruVd'}),0.3466666666666667,0.3466666666666667,0.2,0.576923076923077,1.6642011834319528,0.07982222222222222,1.5442424242424244,0.6108843537414965
