antecedent,confidence,consequent
['Init_Test_pyJbOdVsthnUDFy'],6,['Init_Test_ezwMfXJIOBGCSAn']
['Init_Test_ZlBVXDLGHofwCAy'],6,['Init_Test_YHVecbOeLlErIkO']
['Init_Test_YHVecbOeLlErIkO'],7,['Init_Test_ZlBVXDLGHofwCAy']
['Init_Test_YbVLFqWwJFidSmB'],7,['Init_Test_LjOhIHgKkRAwewb']
['Init_Test_LjOhIHgKkRAwewb'],5,['Init_Test_YbVLFqWwJFidSmB']
['Init_Test_psuRuyspnPwkqoB'],7,['Init_Test_OHcXnbpHqAOjgYK']
['Init_Test_OHcXnbpHqAOjgYK'],5,['Init_Test_psuRuyspnPwkqoB']
['Init_Test_tTVSSMTfxZgkoMq'],7,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_tTVSSMTfxZgkoMq']
['Init_Test_gJHbSpamEEMCIcx'],7,['Init_Test_CqJtQQHCjcPvzrt']
['Init_Test_CqJtQQHCjcPvzrt'],8,['Init_Test_gJHbSpamEEMCIcx']
['Init_Test_SkOyIqWofrPNMGj'],8,['Init_Test_CEAtnglhQIUaeCb']
['Init_Test_CEAtnglhQIUaeCb'],6,['Init_Test_SkOyIqWofrPNMGj']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_IBevczmnbTZVAUk']
['Init_Test_IBevczmnbTZVAUk'],6,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_DMrSWGOzxPHFIVZ']
['Init_Test_DMrSWGOzxPHFIVZ'],6,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_iRyrVphedJDMmVv'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_iRyrVphedJDMmVv']
['Init_Test_PeYvNviBcAOXcoQ'],5,['Init_Test_zVbUgECtxHLYBTb']
['Init_Test_zVbUgECtxHLYBTb'],6,['Init_Test_PeYvNviBcAOXcoQ']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_GVoUuIBODnykVOK']
['Init_Test_GVoUuIBODnykVOK'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_KAYLZBNAScmibqR'],6,['Init_Test_LjOhIHgKkRAwewb']
['Init_Test_LjOhIHgKkRAwewb'],5,['Init_Test_KAYLZBNAScmibqR']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_KAYLZBNAScmibqR']
['Init_Test_KAYLZBNAScmibqR'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_ltoPwyUiYPjLgfe'],6,['Init_Test_RvknSxVrftICmGU']
['Init_Test_RvknSxVrftICmGU'],6,['Init_Test_ltoPwyUiYPjLgfe']
['Init_Test_ltoPwyUiYPjLgfe'],6,['Init_Test_OHcXnbpHqAOjgYK']
['Init_Test_OHcXnbpHqAOjgYK'],5,['Init_Test_ltoPwyUiYPjLgfe']
['Init_Test_zVbUgECtxHLYBTb'],6,['Init_Test_PuaukeCIdaplBqm']
['Init_Test_PuaukeCIdaplBqm'],6,['Init_Test_zVbUgECtxHLYBTb']
['Init_Test_zAtrSRgOTSLorQD'],6,['Init_Test_YdbFZEJYFvuvivW']
['Init_Test_YdbFZEJYFvuvivW'],6,['Init_Test_zAtrSRgOTSLorQD']
['Init_Test_lTmhifHWkAVkINU'],7,['Init_Test_rFmXxEViWgGERsA']
['Init_Test_rFmXxEViWgGERsA'],7,['Init_Test_lTmhifHWkAVkINU']
['Init_Test_vjLBbwDZWpxoxhc'],7,['Init_Test_bzGPToJBPlMGAIz']
['Init_Test_bzGPToJBPlMGAIz'],6,['Init_Test_vjLBbwDZWpxoxhc']
['Init_Test_RkYugaQbZUmPhod'],7,['Init_Test_IBevczmnbTZVAUk']
['Init_Test_IBevczmnbTZVAUk'],6,['Init_Test_RkYugaQbZUmPhod']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_FIfauipIynCmuqZ']
['Init_Test_FIfauipIynCmuqZ'],7,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_fkglrnAmkqsYSqt'],7,['Init_Test_YdbFZEJYFvuvivW']
['Init_Test_YdbFZEJYFvuvivW'],6,['Init_Test_fkglrnAmkqsYSqt']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_wHaXUmojqHiwbvG']
['Init_Test_wHaXUmojqHiwbvG'],7,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_xjwfCRwPqToCZJG'],7,['Init_Test_DIYXVNmJHMsGaCH']
['Init_Test_DIYXVNmJHMsGaCH'],5,['Init_Test_xjwfCRwPqToCZJG']
['Init_Test_mBytVHTJAEBiJqj'],8,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_mBytVHTJAEBiJqj']
['Init_Test_JnQThYkFhklnBkE'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],6,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_BLsEsxPUJKHkuhg']
['Init_Test_BLsEsxPUJKHkuhg'],5,['Init_Test_DrqobvatwhashXq']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_BLsEsxPUJKHkuhg']
['Init_Test_BLsEsxPUJKHkuhg'],5,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_qjOfEAtXiqyJCki']
